IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
Russell Westbrook;OKC;PG;28;7-1;245;France;81;34.6;31.6;10.4;10.7;1.65;0.845;0.459;0.343
Ryan Anderson;HOU;PF;28;6-3;200;USA;72;29.4;13.6;0.9;4.6;0.43;0.86;0.446;0.403
Ryan Kelly;ATL;PF;25;6-10;240;USA;16;6.9;1.6;0.5;1.1;0.25;0.833;0.222;0.4
Salah Mejri;DAL;C;30;6-11;230;USA;73;12.4;2.9;0.2;4.2;0.44;0.59;0.649;0.333
Sam Dekker;HOU;SF;22;7-2;245;Tunisia;77;18.4;6.5;1;3.7;0.49;0.559;0.591;0.321
Sasha Vujacic;NYK;SG;32;6-9;230;USA;42;9.7;3;1.2;1.3;0.31;0.708;0.306;0.311
Sean Kilpatrick;BKN;SG;27;6-7;195;Slovenia;70;25.1;13.1;2.2;4;0.64;0.843;0.468;0.341
Semaj Christon;OKC;PG;24;6-4;219;USA;64;15.2;2.9;2;1.4;0.44;0.548;0.406;0.19
Serge Ibaka;ORL;PF;27;6-3;190;USA;56;30.5;15.1;1.1;6.8;0.61;0.846;0.532;0.388
Sergio Rodriguez;PHI;PG;30;6-10;235;DR Congo;68;22.3;7.8;5.1;2.3;0.72;0.667;0.415;0.365
Seth Curry;DAL;PG;26;6-3;176;Spain;70;29;12.8;2.7;2.6;1.13;0.85;0.528;0.425
Shabazz Muhammad;MIN;SF;24;6-2;185;USA;78;19.4;9.9;0.4;2.8;0.28;0.774;0.529;0.336
Shabazz Napier;POR;PG;25;6-6;223;USA;53;9.7;4.1;1.3;1.1;0.6;0.776;0.429;0.37
Shaun Livingston;GSW;PG;31;6-1;175;USA;76;17.7;5.1;1.8;2;0.5;0.7;0.55;0.333
Shawn Long;PHI;C;24;6-7;192;USA;18;13;8.2;0.7;4.7;0.5;0.543;0.6;0.368
Sheldon McClellan;WAS;SG;24;6-9;255;USA;30;9.6;3;0.5;1.1;0.27;0.852;0.511;0.233
Shelvin Mack;UTA;PG;26;6-6;200;USA;55;21.9;7.8;2.8;2.3;0.78;0.688;0.51;0.308
Skal Labissiere;SAC;PF;20;6-3;203;USA;33;18.5;8.8;0.8;4.9;0.48;0.703;0.545;0.375
Solomon Hill;NOP;SF;25;6-11;225;Haiti;80;29.7;7;1.8;3.8;0.9;0.805;0.428;0.348
Spencer Dinwiddie;BKN;PG;23;6-7;225;USA;59;22.6;7.3;3.1;2.8;0.75;0.792;0.478;0.376
Spencer Hawes;CHA;PF;28;6-6;200;USA;35;17.9;7.3;1.8;4.2;0.37;0.882;0.54;0.291
Stanley Johnson;DET;SF;20;7-1;245;USA;77;17.8;4.4;1.4;2.5;0.73;0.679;0.398;0.292
Stephen Curry;GSW;PG;28;6-7;245;USA;79;33.4;25.3;6.6;4.5;1.81;0.898;0.537;0.41
Stephen Zimmerman;ORL;C;20;6-3;190;USA;19;5.7;1.2;0.2;1.8;0.11;0.6;0.323;0
Steven Adams;OKC;C;23;6-10;225;USA;80;29.9;11.3;1.1;7.7;1.11;0.611;0.572;0
T.J. McConnell;PHI;PG;24;7-0;255;New Zealand;81;26.3;6.9;6.6;3.1;1.65;0.811;0.492;0.2
Taj Gibson;CHI;PF;31;6-8;225;USA;55;27.3;11.6;1.1;6.9;0.49;0.714;0.529;0.167
Taurean Prince;ATL;SF;22;6-9;250;USA;59;16.6;5.7;0.9;2.7;0.73;0.787;0.443;0.324
Terrence Jones;NOP;PF;25;6-8;220;USA;51;24.8;11.5;1.2;5.9;0.76;0.606;0.512;0.253
Terrence Ross;TOR;SF;25;6-9;255;USA;54;22.3;10.4;0.8;2.6;0.98;0.82;0.516;0.375
Terry Rozier;BOS;PG;22;6-7;195;USA;74;17.1;5.5;1.8;3.1;0.62;0.773;0.405;0.318
Thabo Sefolosha;ATL;SF;32;6-2;190;USA;62;25.7;7.2;1.7;4.4;1.55;0.733;0.484;0.342
Thaddeus Young;IND;PF;28;6-7;220;Switzerland;74;30.2;11;1.6;6;1.53;0.523;0.557;0.381
Thomas Robinson;LAL;PF;25;6-8;221;USA;48;11.7;5;0.6;4.6;0.56;0.47;0.538;0
Thon Maker;MIL;PF;19;6-10;237;USA;57;9.9;4;0.4;2;0.18;0.653;0.514;0.378
Tiago Splitter;PHI;C;32;7-1;223;South Sudan;8;9.5;4.9;0.5;2.8;0.13;0.818;0.48;0.333
Tim Frazier;NOP;PG;26;6-11;245;Brazil;65;23.5;7.1;5.2;2.7;0.86;0.76;0.446;0.313
Tim Hardaway Jr.;ATL;SG;24;6-1;170;USA;79;27.3;14.5;2.3;2.8;0.7;0.766;0.537;0.357
Tim Quarterman;POR;SG;22;6-6;205;USA;16;5;1.9;0.7;0.9;0.13;0;0.5;0.385
Timofey Mozgov;LAL;C;30;6-6;190;USA;54;20.4;7.4;0.8;4.9;0.3;0.808;0.517;0
Timothe Luwawu-Cabar;PHI;SF;21;7-1;275;Russia;69;17.2;6.4;1.1;2.2;0.46;0.854;0.475;0.311
TJ Warren;PHX;SF;23;6-2;200;USA;66;31;14.4;1.1;5.1;1.15;0.773;0.527;0.265
Tobias Harris;DET;PF;24;6-6;205;France;82;31.3;16.1;1.7;5.1;0.72;0.841;0.537;0.347
Tomas Satoransky;WAS;SG;25;6-9;235;USA;57;12.6;2.7;1.6;1.5;0.46;0.697;0.473;0.243
