IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Derrick Favors;UTA;PF;26;6-10;265;USA;77;28;12.3;1.3;7.2;0.7;0.651;0.596;0.222;;;
Derrick Jones Jr.;MIA;SF;20;6-7;200;USA;14;15.2;3.7;0.4;2.4;0.21;0.611;0.485;0.188;;;
Derrick Rose;MIN;PG;29;6-3;190;USA;16;19.2;9.8;1.6;1.8;0.19;0.854;0.481;0.25;;;
Derrick Walton Jr.;MIA;PG;22;6-1;185;USA;16;9.2;1.8;1;1;0.44;1;0.125;0.412;;;
Derrick White;SAS;PG;23;6-4;190;USA;17;8.2;3.2;0.5;1.5;0.24;0.7;0.4;0.615;;;
Derrick Williams;LAL;SF;26;6-8;240;USA;2;4.3;1;0;0.5;0;0;0.5;0;;;
Devin Booker;PHX;SG;21;6-6;210;USA;54;34.5;24.9;4.7;4.5;0.87;0.878;0.46;0.383;;;
Devin Harris;DEN;PG;34;6-3;185;USA;44;18.3;8.5;1.9;1.9;0.75;0.83;0.465;0.352;;;
Devin Robinson;WAS;SF;22;6-8;200;USA;1;13.2;2;0;5;1;0;0.333;0;;;
Dewayne Dedmon;ATL;C;28;7-0;245;USA;62;24.9;10;1.5;7.9;0.65;0.779;0.595;0.355;;;
Deyonta Davis;MEM;C;21;6-11;237;USA;62;15.2;5.8;0.6;4;0.24;0.667;0.608;0;;;
Dillon Brooks;MEM;SF;22;6-6;220;Canada;82;28.7;11;1.6;3.1;0.89;0.747;0.484;0.356;;;
Dion Waiters;MIA;SG;26;6-4;215;USA;30;30.6;14.3;3.8;2.6;0.77;0.739;0.463;0.306;;;
Dirk Nowitzki;DAL;PF;39;7-0;245;Germany;77;24.7;12;1.6;5.7;0.56;0.898;0.494;0.409;;;
Domantas Sabonis;IND;PF;21;6-10;252;Lithuania;74;24.5;11.6;2;7.7;0.54;0.75;0.524;0.351;;;
Donovan Mitchell;UTA;SG;21;6-3;215;USA;79;33.4;20.5;3.7;3.7;1.49;0.805;0.502;0.34;;;
Dorian Finney-Smith;DAL;PF;24;6-8;220;USA;21;21.3;5.9;1.2;3.6;0.48;0.733;0.481;0.299;;;
Doug McDermott;DAL;SF;26;6-8;219;USA;55;21.3;7.2;0.9;2.4;0.18;0.755;0.513;0.387;;;
Dragan Bender;PHX;PF;20;7-1;225;Croatia;82;25.2;6.5;1.6;4.4;0.27;0.765;0.426;0.366;;;
Draymond Green;GSW;PF;27;6-7;230;USA;70;32.7;11;7.3;7.6;1.34;0.775;0.562;0.301;;;
Dwayne Bacon;CHA;SG;22;6-7;221;USA;53;13.5;3.3;0.7;2.3;0.3;0.8;0.409;0.256;;;
Dwight Buycks;DET;PG;28;6-3;190;USA;29;14.7;7.4;2;1.4;0.66;0.878;0.438;0.333;;;
Dwight Howard;CHA;C;32;6-11;265;USA;81;30.4;16.6;1.3;12.5;0.59;0.574;0.559;0.143;;;
Dwight Powell;DAL;C;26;6-11;240;Canada;79;21.2;8.5;1.2;5.6;0.85;0.719;0.656;0.333;;;
